x, y, du, u,e_to_next_x, e_to_next_y, to_next_theta,tx, ty, t_theta,nx, ny, n_theta,kappa
64.9,8.02065e-05,0.1,65.0712,1,0.000227771,0.000227771,0,0,0,0,0,0,0.000593241
65,0.000102984,0.1,65.1712,1,0.00029244,0.00029244,0,0,0,0,0,0,0.000761599
65.1,0.000132228,0.1,65.2712,1,0.000375462,0.000375462,0,0,0,0,0,0,0.000977686
65.2,0.000169774,0.1,65.3712,1,0.000482039,0.000482039,0,0,0,0,0,0,0.001255
65.3,0.000217978,0.1,65.4712,1,0.000618845,0.000618845,0,0,0,0,0,0,0.00161084
65.4,0.000279862,0.1,65.5712,1,0.00079444,0.00079444,0,0,0,0,0,0,0.00206734
65.5,0.000359306,0.1,65.6712,0.999999,0.0010198,0.0010198,0,0,0,0,0,0,0.00265284
65.6,0.000461286,0.1,65.7712,0.999999,0.00130897,0.00130897,0,0,0,0,0,0,0.00340356
65.7,0.000592183,0.1,65.8712,0.999999,0.00167998,0.00167998,0,0,0,0,0,0,0.00436571
65.8,0.000760182,0.1,65.9712,0.999998,0.00215586,0.00215586,0,0,0,0,0,0,0.0055982
65.9,0.000975768,0.1,66.0712,0.999996,0.00276608,0.00276608,0,0,0,0,0,0,0.00717591
66,0.00125238,0.100001,66.1712,0.999994,0.00354825,0.00354826,0,0,0,0,0,0,0.00919376
66.1,0.00160721,0.100001,66.2712,0.99999,0.00455034,0.00455036,0,0,0,0,0,0,0.0117716
66.2,0.00206224,0.100002,66.3712,0.999983,0.00583336,0.00583339,0,0,0,0,0,0,0.0150602
66.3,0.00264559,0.100003,66.4712,0.999972,0.00747471,0.00747478,0,0,0,0,0,0,0.0192474
66.4,0.00339308,0.100005,66.5712,0.999954,0.00957228,0.00957242,0,0,0,0,0,0,0.024566
66.5,0.00435035,0.100008,66.6712,0.999925,0.0122492,0.0122495,0,0,0,0,0,0,0.0313004
66.6,0.00557537,0.100012,66.7712,0.999877,0.0156596,0.0156602,0,0,0,0,0,0,0.0397927
66.7,0.00714151,0.10002,66.8712,0.9998,0.0199945,0.0199958,0,0,0,0,0,0,0.050445
66.8,0.00914136,0.100032,66.9713,0.999675,0.0254885,0.0254913,0,0,0,0,0,0,0.0637142
66.9,0.011691,0.100053,67.0713,0.999474,0.0324255,0.0324312,0,0,0,0,0,0,0.0800931
67,0.0149353,0.100085,67.1713,0.999153,0.0411417,0.0411533,0,0,0,0,0,0,0.100069
67.1,0.0190529,0.100136,67.2714,0.998646,0.0520247,0.0520482,0,0,0,0,0,0,0.124046
67.2,0.0242625,0.100215,67.3716,0.997852,0.0655024,0.0655494,0,0,0,0,0,0,0.152217
67.3,0.0308268,0.100338,67.4718,0.996631,0.0820178,0.08211,0,0,0,0,0,0,0.184375
67.4,0.0390563,0.100524,67.5721,0.994786,0.10198,0.102158,0,0,0,0,0,0,0.219653
67.5,0.0493078,0.100799,67.6726,0.99207,0.125689,0.126022,0,0,0,0,0,0,0.256236
67.6,0.0619772,0.101195,67.7734,0.988193,0.153217,0.153823,0,0,0,0,0,0,0.291122
67.7,0.0774819,0.101742,67.8746,0.982874,0.184277,0.185336,0,0,0,0,0,0,0.32008
67.8,0.0962307,0.102466,67.9764,0.975931,0.218081,0.219847,0,0,0,0,0,0,0.337976
67.9,0.118577,0.10337,68.0788,0.967401,0.253251,0.256039,0,0,0,0,0,0,0.339583
68,0.144755,0.104419,68.1822,0.957676,0.287847,0.291978,0,0,0,0,0,0,0.320758
68.1,0.174812,0.105533,68.2866,0.947573,0.31954,0.325244,0,0,0,0,0,0,0.279617
68.2,0.208534,0.10658,68.3922,0.938266,0.345916,0.353215,0,0,0,0,0,0,0.217247
68.3,0.245401,0.107403,68.4987,0.931074,0.364831,0.373451,0,0,0,0,0,0,0.137661
68.4,0.284585,0.107858,68.6061,0.927145,0.374703,0.384076,0,0,0,0,0,0,0.0470935
68.5,0.325,0.107858,68.714,0.927145,0.374703,0.384076,0,0,0,0,0,0,-0.0470035
68.6,0.365415,0.107403,68.8219,0.931074,0.364831,0.373451,0,0,0,0,0,0,-0.136916
68.7,0.404599,0.10658,68.9293,0.938266,0.345916,0.353215,0,0,0,0,0,0,-0.215499
68.8,0.441466,0.105533,69.0358,0.947573,0.31954,0.325244,0,0,0,0,0,0,-0.276957
68.9,0.475188,0.104419,69.1414,0.957676,0.287847,0.291978,0,0,0,0,0,0,-0.317616
69,0.505245,0.10337,69.2458,0.967401,0.253251,0.256039,0,0,0,0,0,0,-0.336488
69.1,0.531423,0.102466,69.3492,0.975931,0.218081,0.219847,0,0,0,0,0,0,-0.335331
69.2,0.553769,0.101742,69.4516,0.982874,0.184277,0.185336,0,0,0,0,0,0,-0.318067
69.3,0.572518,0.101195,69.5534,0.988193,0.153217,0.153823,0,0,0,0,0,0,-0.28973
69.4,0.588023,0.100799,69.6546,0.99207,0.125689,0.126022,0,0,0,0,0,0,-0.255345
69.5,0.600692,0.100524,69.7554,0.994786,0.10198,0.102158,0,0,0,0,0,0,-0.219119
69.6,0.610944,0.100338,69.8559,0.996631,0.0820178,0.08211,0,0,0,0,0,0,-0.184071
69.7,0.619173,0.100215,69.9562,0.997852,0.0655024,0.0655494,0,0,0,0,0,0,-0.152051
69.8,0.625738,0.100136,70.0564,0.998646,0.0520247,0.0520482,0,0,0,0,0,0,-0.123957
69.9,0.630947,0.100085,70.1566,0.999153,0.0411417,0.0411533,0,0,0,0,0,0,-0.100023
70,0.635065,0.100053,70.2567,0.999474,0.0324255,0.0324312,0,0,0,0,0,0,-0.0800699
70.1,0.638309,0.100032,70.3567,0.999675,0.0254885,0.0254913,0,0,0,0,0,0,-0.0637027
70.2,0.640859,0.10002,70.4567,0.9998,0.0199945,0.0199958,0,0,0,0,0,0,-0.0504393
70.3,0.642858,0.100012,70.5568,0.999877,0.0156596,0.0156602,0,0,0,0,0,0,-0.0397899
70.4,0.644425,0.100008,70.6568,0.999925,0.0122492,0.0122495,0,0,0,0,0,0,-0.031299
70.5,0.64565,0.100005,70.7568,0.999954,0.00957228,0.00957242,0,0,0,0,0,0,-0.0245653
70.6,0.646607,0.100003,70.8568,0.999972,0.00747471,0.00747478,0,0,0,0,0,0,-0.0192471
70.7,0.647354,0.100002,70.9568,0.999983,0.00583336,0.00583339,0,0,0,0,0,0,-0.01506
70.8,0.647938,0.100001,71.0568,0.99999,0.00455034,0.00455036,0,0,0,0,0,0,-0.0117716
70.9,0.648393,0.100001,71.1568,0.999994,0.00354825,0.00354826,0,0,0,0,0,0,-0.00919373
71,0.648748,0.1,71.2568,0.999996,0.00276608,0.00276608,0,0,0,0,0,0,-0.00717589
71.1,0.649024,0.1,71.3568,0.999998,0.00215586,0.00215586,0,0,0,0,0,0,-0.0055982
71.2,0.64924,0.1,71.4568,0.999999,0.00167998,0.00167998,0,0,0,0,0,0,-0.00436571
71.3,0.649408,0.1,71.5568,0.999999,0.00130897,0.00130897,0,0,0,0,0,0,-0.00340356
71.4,0.649539,0.1,71.6568,0.999999,0.0010198,0.0010198,0,0,0,0,0,0,-0.00265284
71.5,0.649641,0.1,71.7568,1,0.00079444,0.00079444,0,0,0,0,0,0,-0.00206734
71.6,0.64972,0.1,71.8568,1,0.000618845,0.000618845,0,0,0,0,0,0,-0.00161084
71.7,0.649782,0.1,71.9568,1,0.000482039,0.000482039,0,0,0,0,0,0,-0.001255
71.8,0.64983,0.1,72.0568,1,0.000375462,0.000375462,0,0,0,0,0,0,-0.00227821
71.9,0.649868,0.1,72.1568,1,0.00029244,0.00029244,0,0,0,0,0,0,-0.00214375
72,0.649897,0.1,72.2568,1,-0.00029244,-0.00029244,0,0,0,0,0,0,-0.00214375
72.1,0.649868,0.1,72.3568,1,-0.000375462,-0.000375462,0,0,0,0,0,0,-0.00227821
72.2,0.64983,0.1,72.4568,1,-0.000482039,-0.000482039,0,0,0,0,0,0,-0.001255
72.3,0.649782,0.1,72.5568,1,-0.000618845,-0.000618845,0,0,0,0,0,0,-0.00161084
72.4,0.64972,0.1,72.6568,1,-0.00079444,-0.00079444,0,0,0,0,0,0,-0.00206734
72.5,0.649641,0.1,72.7568,0.999999,-0.0010198,-0.0010198,0,0,0,0,0,0,-0.00265284
72.6,0.649539,0.1,72.8568,0.999999,-0.00130897,-0.00130897,0,0,0,0,0,0,-0.00340356
72.7,0.649408,0.1,72.9568,0.999999,-0.00167998,-0.00167998,0,0,0,0,0,0,-0.00436571
72.8,0.64924,0.1,73.0568,0.999998,-0.00215586,-0.00215586,0,0,0,0,0,0,-0.0055982
72.9,0.649024,0.1,73.1568,0.999996,-0.00276608,-0.00276608,0,0,0,0,0,0,-0.00717591
73,0.648748,0.100001,73.2568,0.999994,-0.00354825,-0.00354826,0,0,0,0,0,0,-0.00919376
73.1,0.648393,0.100001,73.3568,0.99999,-0.00455034,-0.00455036,0,0,0,0,0,0,-0.0117716
73.2,0.647938,0.100002,73.4568,0.999983,-0.00583336,-0.00583339,0,0,0,0,0,0,-0.0150602
73.3,0.647354,0.100003,73.5568,0.999972,-0.00747471,-0.00747478,0,0,0,0,0,0,-0.0192474
73.4,0.646607,0.100005,73.6568,0.999954,-0.00957228,-0.00957242,0,0,0,0,0,0,-0.024566
73.5,0.64565,0.100008,73.7568,0.999925,-0.0122492,-0.0122495,0,0,0,0,0,0,-0.0313004
73.6,0.644425,0.100012,73.8568,0.999877,-0.0156596,-0.0156602,0,0,0,0,0,0,-0.0397927
73.7,0.642858,0.10002,73.9568,0.9998,-0.0199945,-0.0199958,0,0,0,0,0,0,-0.050445
73.8,0.640859,0.100032,74.0568,0.999675,-0.0254885,-0.0254913,0,0,0,0,0,0,-0.0637142
73.9,0.638309,0.100053,74.1569,0.999474,-0.0324255,-0.0324312,0,0,0,0,0,0,-0.0800931
74,0.635065,0.100085,74.2569,0.999153,-0.0411417,-0.0411533,0,0,0,0,0,0,-0.100069
74.1,0.630947,0.100136,74.357,0.998646,-0.0520247,-0.0520482,0,0,0,0,0,0,-0.124046
74.2,0.625738,0.100215,74.4572,0.997852,-0.0655024,-0.0655494,0,0,0,0,0,0,-0.152217
74.3,0.619173,0.100338,74.5574,0.996631,-0.0820178,-0.08211,0,0,0,0,0,0,-0.184375
74.4,0.610944,0.100524,74.6577,0.994786,-0.10198,-0.102158,0,0,0,0,0,0,-0.219653
74.5,0.600692,0.100799,74.7582,0.99207,-0.125689,-0.126022,0,0,0,0,0,0,-0.256236
74.6,0.588023,0.101195,74.859,0.988193,-0.153217,-0.153823,0,0,0,0,0,0,-0.291122
74.7,0.572518,0.101742,74.9602,0.982874,-0.184277,-0.185336,0,0,0,0,0,0,-0.32008
74.8,0.553769,0.102466,75.062,0.975931,-0.218081,-0.219847,0,0,0,0,0,0,-0.337976
74.9,0.531423,0.10337,75.1644,0.967401,-0.253251,-0.256039,0,0,0,0,0,0,-0.339583
75,0.505245,0.104419,75.2678,0.957676,-0.287847,-0.291978,0,0,0,0,0,0,-0.320758
75.1,0.475188,0.105533,75.3722,0.947573,-0.31954,-0.325244,0,0,0,0,0,0,-0.279617
75.2,0.441466,0.10658,75.4778,0.938266,-0.345916,-0.353215,0,0,0,0,0,0,-0.217247
75.3,0.404599,0.107403,75.5843,0.931074,-0.364831,-0.373451,0,0,0,0,0,0,-0.137661
75.4,0.365415,0.107858,75.6917,0.927145,-0.374703,-0.384076,0,0,0,0,0,0,-0.0470935
75.5,0.325,0.107858,75.7996,0.927145,-0.374703,-0.384076,0,0,0,0,0,0,0.0470035
75.6,0.284585,0.107403,75.9075,0.931074,-0.364831,-0.373451,0,0,0,0,0,0,0.136916
75.7,0.245401,0.10658,76.0149,0.938266,-0.345916,-0.353215,0,0,0,0,0,0,0.215499
75.8,0.208534,0.105533,76.1214,0.947573,-0.31954,-0.325244,0,0,0,0,0,0,0.276957
75.9,0.174812,0.104419,76.227,0.957676,-0.287847,-0.291978,0,0,0,0,0,0,0.317616
