x, y, du, u,e_to_next_x, e_to_next_y, to_next_theta,tx, ty, t_theta,nx, ny, n_theta,kappa
165.1,0,2,165.442,1,0,0,0,0,0,0,0,0,0
167.1,0,2,167.442,1,0,0,0,0,0,0,0,0,0
169.1,0,2,169.442,1,0,0,0,0,0,0,0,0,0
171.1,0,2,171.442,1,0,0,0,0,0,0,0,0,0
173.1,0,2,173.442,1,0,0,0,0,0,0,0,0,0
175.1,0,2,175.442,1,0,0,0,0,0,0,0,0,0
177.1,0,2,177.442,1,0,0,0,0,0,0,0,0,0
179.1,0,2,179.442,1,0,0,0,0,0,0,0,0,0
181.1,0,2,181.442,1,0,0,0,0,0,0,0,0,0
183.1,0,2,183.442,1,0,0,0,0,0,0,0,0,0
185.1,0,2,185.442,1,0,0,0,0,0,0,0,0,0
187.1,0,2,187.442,1,0,0,0,0,0,0,0,0,0
189.1,0,2,189.442,1,0,0,0,0,0,0,0,0,0
191.1,0,2,191.442,1,0,0,0,0,0,0,0,0,0
193.1,0,2,193.442,1,0,0,0,0,0,0,0,0,0
195.1,0,2,195.442,1,0,0,0,0,0,0,0,0,0
197.1,0,2,197.442,1,0,0,0,0,0,0,0,0,0
199.1,0,2,199.442,1,0,0,0,0,0,0,0,0,0
201.1,0,2,201.442,1,0,0,0,0,0,0,0,0,0
203.1,0,2,203.442,1,0,0,0,0,0,0,0,0,0
205.1,0,2,205.442,1,0,0,0,0,0,0,0,0,0
207.1,0,2,207.442,1,0,0,0,0,0,0,0,0,0
209.1,0,2,209.442,1,0,0,0,0,0,0,0,0,0
211.1,0,2,211.442,1,0,0,0,0,0,0,0,0,0
213.1,0,2,213.442,1,0,0,0,0,0,0,0,0,0
215.1,0,2,215.442,1,0,0,0,0,0,0,0,0,0
217.1,0,2,217.442,1,0,0,0,0,0,0,0,0,0
219.1,0,2,219.442,1,0,0,0,0,0,0,0,0,0
221.1,0,2,221.442,1,0,0,0,0,0,0,0,0,0
223.1,0,2,223.442,1,0,0,0,0,0,0,0,0,0
225.1,0,2,225.442,1,0,0,0,0,0,0,0,0,0
227.1,0,2,227.442,1,0,0,0,0,0,0,0,0,0
229.1,0,2,229.442,1,0,0,0,0,0,0,0,0,0
231.1,0,2,231.442,1,0,0,0,0,0,0,0,0,0
233.1,0,2,233.442,1,0,0,0,0,0,0,0,0,0
235.1,0,2,235.442,1,0,0,0,0,0,0,0,0,0
237.1,0,2,237.442,1,0,0,0,0,0,0,0,0,0
239.1,0,2,239.442,1,0,0,0,0,0,0,0,0,0
241.1,0,2,241.442,1,0,0,0,0,0,0,0,0,0
243.1,0,2,243.442,1,0,0,0,0,0,0,0,0,0.0254277
245.1,0,245.1,245.442,-1,0,3.14159,0,0,0,0,0,0,0
